ID	numPRDM9BoundPeaks
SKCM_TCGA-D3-A8GP-06A	36546
SKCM_TCGA-D9-A1JW-06A	34931
SKCM_TCGA-D9-A6EA-06A	36490
SKCM_TCGA-D9-A6EC-06A	35221
SKCM_TCGA-DA-A95W-06A	34012
SKCM_TCGA-DA-A95Y-06A	34415
SKCM_TCGA-EB-A24C-01A	35608
SKCM_TCGA-EB-A3XF-01A	24574
SKCM_TCGA-EB-A3Y6-01A	23156
SKCM_TCGA-EB-A5KH-06A	34662
SKCM_TCGA-EB-A5SH-06A	33166
SKCM_TCGA-XV-AAZY-01A	35275
STAD_TCGA-BR-A452-01A	45102
STAD_TCGA-BR-A4CR-01A	43510
STAD_TCGA-BR-A4CS-01A	39614
STAD_TCGA-BR-A4IY-01A	44299
STAD_TCGA-BR-A4J1-01A	44710
STAD_TCGA-BR-A4J2-01A	45270
STAD_TCGA-BR-A4J4-01A	42017
STAD_TCGA-BR-A4J5-01A	45036
STAD_TCGA-BR-A4J6-01A	42650
STAD_TCGA-BR-A4J7-01A	42738
STAD_TCGA-BR-A4J9-01A	41499
STAD_TCGA-BR-A4QL-01A	23477
STAD_TCGA-CD-A486-01A	43288
STAD_TCGA-CD-A48C-01A	41450
STAD_TCGA-D7-A4YX-01A	36651
STAD_TCGA-D7-A6EZ-01A	38425
STAD_TCGA-HF-A5NB-01A	42665
STAD_TCGA-VQ-A8PJ-01A	46460
STAD_TCGA-VQ-A91E-01A	42423
STAD_TCGA-VQ-A91W-01A	40168
STAD_TCGA-VQ-A94O-01A	46041
TGCT_TCGA-2G-AAFM-01A	39598
TGCT_TCGA-2G-AAFO-01A	39897
TGCT_TCGA-2G-AAGS-01A	37962
TGCT_TCGA-2G-AAH8-01A	38017
TGCT_TCGA-2G-AAKG-05A	37459
TGCT_TCGA-4K-AA1I-01A	37505
TGCT_TCGA-XE-AANI-01A	30779
TGCT_TCGA-XE-AAOD-01A	37845
TGCT_TCGA-XE-AAOF-01A	37695
THCA_TCGA-4C-A93U-01A	38049
THCA_TCGA-BJ-A0Z0-01A	37699
THCA_TCGA-BJ-A0Z2-01A	36904
THCA_TCGA-BJ-A0Z3-01A	39674
THCA_TCGA-BJ-A0Z5-01A	38461
THCA_TCGA-BJ-A0ZA-01A	37392
THCA_TCGA-BJ-A0ZC-01A	37036
THCA_TCGA-BJ-A192-01A	37040
THCA_TCGA-BJ-A290-01A	38787
THCA_TCGA-BJ-A3PU-01A	39414
THCA_TCGA-CE-A13K-01A	38504
THCA_TCGA-DJ-A13M-01A	39656
THCA_TCGA-DJ-A13V-01A	39643
THCA_TCGA-DJ-A13X-01A	39564
UCEC_TCGA-AP-A051-01A	36696
UCEC_TCGA-B5-A0JN-01A	41937
UCEC_TCGA-B5-A0JT-01A	34274
UCEC_TCGA-B5-A0K9-01A	40209
UCEC_TCGA-B5-A0KB-01A	30388
UCEC_TCGA-B5-A11Y-01A	40903
UCEC_TCGA-BG-A0M8-01A	41273
UCEC_TCGA-BG-A0MH-01A	38699
UCEC_TCGA-BG-A0MK-01A	43566
UCEC_TCGA-BG-A0MS-01A	42997
UCEC_TCGA-BG-A0RY-01A	41774
UCEC_TCGA-BK-A0C9-01A	42170
UCEC_TCGA-BK-A13B-01A	39696
